Columna;Especie;Origen;Altitud;Variety;método;color
270;Arabica;Brazil;1200;Bourbon;Washed / Wet;Green
271;Arabica;Costa Rica;1200;Catuai;Washed / Wet;Green
272;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
273;Arabica;Brazil;894;Bourbon;Natural / Dry;Green
274;Arabica;Brazil;872;Bourbon;Natural / Dry;Bluish-Green
275;Arabica;Uganda;1473;Bourbon;Washed / Wet;Green
276;Arabica;Uganda;1645;Bourbon;Natural / Dry;Green
277;Arabica;Vietnam;1550;Caturra;Other;Green
278;Arabica;Guatemala;1300;Catuai;Washed / Wet;Green
279;Arabica;Guatemala;1372;Catuai;Washed / Wet;Green
280;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
281;Arabica;Brazil;900;Catuai;Natural / Dry;Green
282;Arabica;Taiwan;1200;Typica;Washed / Wet;Green
283;Arabica;Uganda;1800;SL14;Washed / Wet;Green
284;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
285;Arabica;Brazil;1250;Yellow Bourbon;Semi-washed / Semi-pulped;Bluish-Green
286;Arabica;Colombia;1950;Caturra;Washed / Wet;Green
287;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
288;Arabica;Colombia;1000;Caturra;Natural / Dry;Green
289;Arabica;Colombia;1000;Caturra;Natural / Dry;Green
290;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
291;Arabica;Mexico;750;Typica;Washed / Wet;Green
292;Arabica;Mexico;1200;Typica;Semi-washed / Semi-pulped;Green
293;Arabica;Mexico;1200;Bourbon;Washed / Wet;Green
294;Arabica;Colombia;1500;Caturra;Washed / Wet;Green
295;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
296;Arabica;Guatemala;4500;Bourbon;Washed / Wet;Green
297;Arabica;Colombia;1600;Caturra;Washed / Wet;Bluish-Green
298;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
299;Arabica;El Salvador;1350;Bourbon;Washed / Wet;Green
300;Arabica;Colombia;1500;Caturra;Washed / Wet;Green
301;Arabica;Taiwan;350;Caturra;Natural / Dry;Green
302;Arabica;Ethiopia;2000;Ethiopian Heirlooms;Washed / Wet;Bluish-Green
303;Arabica;Taiwan;775;Typica;Natural / Dry;Green
304;Arabica;Mexico;1059;Typica;Natural / Dry;Blue-Green
305;Arabica;Mexico;1300;Bourbon;Washed / Wet;Bluish-Green
306;Arabica;Brazil;11000;Moka Peaberry;Semi-washed / Semi-pulped;Green
307;Arabica;Uganda;1400;SL14;Washed / Wet;Green
308;Arabica;Uganda;1400;SL14;Washed / Wet;Green
309;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
310;Arabica;Guatemala;1500;Caturra;Natural / Dry;Green
311;Arabica;Colombia;1800;Caturra;Washed / Wet;Green
312;Arabica;Colombia;1750;Caturra;Natural / Dry;Bluish-Green
313;Arabica;Guatemala;5760;Bourbon;Washed / Wet;Green
314;Arabica;Mexico;1248;Typica;Natural / Dry;Green
315;Arabica;Mexico;1400;Typica;Washed / Wet;Green
316;Arabica;Kenya;1754;SL28;Washed / Wet;Green
317;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
318;Arabica;Brazil;905;Yellow Bourbon;Pulped natural / honey;Bluish-Green
319;Arabica;El Salvador;1250;Pacas;Washed / Wet;Green
320;Arabica;Rwanda;1900;Bourbon;Washed / Wet;Bluish-Green
321;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
322;Arabica;Brazil;900;Catuai;Natural / Dry;Green
323;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
324;Arabica;Colombia;1800;Typica;Natural / Dry;Green
325;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
326;Arabica;Tanzania, United Republic Of;1400;Arusha;Washed / Wet;Green
327;Arabica;Mexico;1550;Caturra;Washed / Wet;Green
328;Arabica;Mexico;1250;Bourbon;Washed / Wet;Blue-Green
329;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
330;Arabica;Guatemala;1100;Caturra;Washed / Wet;Green
331;Arabica;Guatemala;1800;Caturra;Washed / Wet;Green
332;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
333;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
334;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
335;Arabica;Indonesia;1500;Sulawesi;Other;Blue-Green
336;Arabica;Guatemala;518;Bourbon;Washed / Wet;Green
337;Arabica;Taiwan;650;Yellow Bourbon;Natural / Dry;Green
338;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Bluish-Green
339;Arabica;Honduras;1400;Caturra;Natural / Dry;Green
340;Arabica;Brazil;905;Yellow Bourbon;Pulped natural / honey;Bluish-Green
341;Arabica;China;1100;Catimor;Natural / Dry;Green
342;Arabica;China;1500;Catimor;Washed / Wet;Green
343;Arabica;Colombia;1600;Caturra;Washed / Wet;Blue-Green
344;Arabica;Malawi;1442;Gesha;Washed / Wet;Bluish-Green
345;Arabica;Guatemala;1524;Pacas;Washed / Wet;Green
346;Arabica;Colombia;1650;Typica;Washed / Wet;Green
347;Arabica;Colombia;1300;Caturra;Washed / Wet;Green
348;Arabica;Mexico;1550;Typica;Washed / Wet;Green
349;Arabica;Colombia;1850;Caturra;Washed / Wet;Blue-Green
350;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
351;Arabica;Panama;1100;Catuai;Washed / Wet;Green
352;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
353;Arabica;Brazil;934;Bourbon;Natural / Dry;Bluish-Green
354;Arabica;Laos;1300;Catimor;Washed / Wet;Bluish-Green
355;Arabica;El Salvador;1200;Pacas;Washed / Wet;Green
356;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
357;Arabica;Tanzania, United Republic Of;1550;Bourbon;Washed / Wet;Green
358;Arabica;Taiwan;1200;Typica;Washed / Wet;Green
359;Arabica;Mexico;1296;Typica;Natural / Dry;Green
360;Arabica;Uganda;1400;SL14;Washed / Wet;Green
361;Arabica;Thailand;1500;Caturra;Washed / Wet;Bluish-Green
362;Arabica;Colombia;1800;Caturra;Washed / Wet;Bluish-Green
363;Arabica;Guatemala;1500;Caturra;Washed / Wet;Green
364;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
365;Arabica;Taiwan;1050;Typica;Pulped natural / honey;Green
366;Arabica;Thailand;1400;Caturra;Washed / Wet;Blue-Green
367;Arabica;Uganda;1400;SL14;Natural / Dry;Green
368;Arabica;Costa Rica;1200;Catuai;Washed / Wet;Green
369;Arabica;Colombia;1750;Caturra;Washed / Wet;Blue-Green
370;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
371;Arabica;Mexico;1250;Typica;Washed / Wet;Green
372;Arabica;Mexico;1150;Typica;Washed / Wet;Green
373;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
374;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
375;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
376;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
377;Arabica;Brazil;1260;Yellow Bourbon;Semi-washed / Semi-pulped;Bluish-Green
378;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
379;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
380;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
381;Arabica;Mexico;1100;Typica;Washed / Wet;Green
382;Arabica;Brazil;1250;Bourbon;Semi-washed / Semi-pulped;Blue-Green
383;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
384;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
385;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
386;Arabica;Guatemala;518;Bourbon;Washed / Wet;Green
387;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
388;Arabica;China;1600;Catimor;Washed / Wet;Green
389;Arabica;Tanzania, United Republic Of;2285;Ruiru 11;Washed / Wet;Green
390;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
391;Arabica;Guatemala;1400;Caturra;Washed / Wet;Green
392;Arabica;Mexico;1296;Typica;Washed / Wet;Green
393;Arabica;Brazil;1000;Catuai;Semi-washed / Semi-pulped;Blue-Green
394;Arabica;Brazil;1260;Yellow Bourbon;Natural / Dry;Green
395;Arabica;Mexico;1170;Bourbon;Washed / Wet;Green
396;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
397;Arabica;Mexico;1560;Typica;Washed / Wet;Green
398;Arabica;Mexico;1400;Typica;Semi-washed / Semi-pulped;Green
